Name,Body Shape,Dress size,Breast,Waist,Hips,Bra size,Height,Weight
Alyson Stoner measurements,Hourglass,6,36,26,36,34B,157,56
Tove Lo measurements,Hourglass,6,36,25,37,34B,171,63
Sabrina Carpenter measurements,Banana,0,31,23,33,30A,152,44
Nadia Forde measurements,Banana,8,36,26,36,34B,170,63
Brie Larson measurements,Hourglass,4,34,24,35,32B,170,59
Charli XCX measurements,Hourglass,8,37,26,37,34C,160,59
Lorde measurements,Pear,6,35,27,36,34A,165,59
Raini Rodriguez measurements,Apple,N/A,36,37,42,34B,157,70
Jesy Nelson measurements,Hourglass,10,37,28,39,34C,160,66
Maria Brink measurements,Apple,12,39,28,37,34DD,165,70
Judy Garland measurements,Banana,2,33,24,34,32A,151,49
Becky G measurements,Banana,2,34,24,34,32B,150,48
G Hannelius measurements,Banana,N/A,31,22,32,30A,157,40
Sasha Pieterse measurements,Banana,2,33,24,34,32A,168,54
Raven-Symoné measurements,Hourglass,12,39,28,40,36C,157,65
LeAnn Rimes measurements,Hourglass,8,37,26,37,34C,165,59
Beverley Mitchell measurements,Apple,8,37,27,36,34C,157,57
Chanel West Coast measurements,Hourglass,6,36,26,37,34B,160,54
Patina Miller measurements,Hourglass,6,36,25,36,34B,168,63
Becca Tobin measurements,Banana,4,34,24,34,32B,157,54
Kat Graham measurements,Hourglass,6,36,25,36,34B,157,56
Vanessa Morgan measurements,Banana,4,34,24,34,32B,160,50
Ellie Goulding measurements,Pear,6,35,27,37,34A,165,61
Cher Llloyd measurements,Banana,0,32,23,33,30B,157,50
Janel Parrish measurements,Banana,4,34,24,34,32B,157,53
Delta Goodrem measurements,Hourglass,6,36,25,36,34B,178,61
Billie Piper measurements,,4,36,25,35,34B,165,55
Melissa Benoist measurements,Banana,0,33,23,34,32A,173,55
Stefanie Scott measurements,Banana,4,34,25,35,32B,163,53
Indiana Evans measurements,Hourglass,8,36,24,36,34B,165,57
Brooke Elliott measurements,Apple,18,41,36,39,38C,165,84
Jessie J measurements,Banana,2,33,24,35,32A,175,58
Jana Kramer measurements,Apple,6,36,26,36,34B,163,53
Jessie James measurements,Hourglass,8,37,26,37,34C,155,58
Laura Marano measurements,Banana,6,35,25,35,34A,157,51
Aubrey O’Day measurements,Hourglass,10,38,26,37,34D,163,64
Selena Quintanilla measurements,Pear,6,35,26,37,32C,168,58
Minnie Driver measurements,Hourglass,6,36,26,36,34B,178,65
Marina Diamandis measurements,Hourglass,10,38,26,37,34D,173,70
Olivia Holt measurements,Banana,2,33,24,35,32A,157,47
Vanessa Williams measurements,Hourglass,10,37,27,39,34C,168,68
Kim Zolciak measurements,Hourglass,12,41,29,39,36DD,175,70
Doris Day measurements in 1950’s,Hourglass,10,38,26,37,36B,170,62
Anna Semenovich measurements,Hourglass,N/A,43,27,38,38E,155,64
Mía Maestro measurements,Banana,0,33,24,34,32A,163,48
Teyana Taylor measurements,Hourglass,N/A,36,24,37,32D,158,52
Jamie Lynn Spears measurements,Banana,8,36,26,36,34B,164,57
Violante Placido measurements,Hourglass,8,36,25,36,34B,170,54
Dove Cameron measurements,Hourglass,4,34,24,35,32B,157,49
Kimberly Perry measurements,Hourglass,8,36,25,36,34B,175,64
Perrie Edwards measurements,Banana,4,34,24,34,32B,160,54
Roselyn Sanchez measurements,Hourglass,6,36,24,36,34B,165,55
Stevie Nicks,Hourglass,4,36,25,35,34B,156,61
Julie London measurements,Hourglass,6,37,24,36,34C,160,54
Jill Scott measurements,Hourglass,14,44,32,41,38DDD,168,91
Taylor Momsen measurements,Banana,4,34,25,35,32B,173,54
Emily Browning measurements,Banana,0,33,23,34,32A,155,49
Katey Sagal measurements,Hourglass,8,37,25,36,34C,175,66
Adrienne Bailon measurements,Pear,6,35,25,37,32C,150,54
Nicole Beharie measurements,Hourglass,6,35,26,36,32C,155,54
Charlotte Gainsbourg measurements,Banana,2,33,24,35,32A,173,52
Mae West measurements,Hourglass,6,35,24,35,32C,152,53
Betty Grable measurements,Hourglass,8,36,23,35,34B,163,54
Hayley Williams measurements,Banana,0,33,25,34,32A,157,53
Chloe Bennet measurements,Hourglass,4,35,25,35,32C,168,57
Brenda Song measurements,Banana,0,34,24,34,32B,158,51
Carly Rae Jepsen measurements,Banana,2,34,25,34,32B,157,52
Aly Michalka measurements,Hourglass,4,36,24,36,34B,173,55
Mel B measurements,Hourglass,N/A,38,26,36,34D,165,60
Queen Latifah measurements,Apple,18,45,43,45,40DD,178,91
Marie Osmond measurements,Hourglass,6,39,27,37,36C,165,54
Samantha Barks measurements,Banana,2,34,23,35,32B,170,54
Daniella Monet measurements,Apple,6,37,27,36,34C,160,64
Sara Evans measurements,Hourglass,6,40,26,37,36D,175,62
Kristin Chenoweth measurements,Hourglass,0,33,23,33,30C,150,45
Gwen Stefani measurements,Banana,2,33,25,34,32A,168,54
Bridgit Mendler measurements,Banana,2,34,25,35,32B,168,54
Jordin Sparks measurements,Hourglass,6,36,26,36,34B,178,64
Emily Osment measurements,Hourglass,2,34,25,35,32B,159,57
Rita Ora measurements,Hourglass,2,35,25,35,32C,166,55
Madonna measurements,Hourglass,2,37,24,35,34C,164,57
